session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,0,0,0,0,0,-4932,3360,16236,1007,-59,-641
pronoun1,We,0,0,0,0,0,-5116,3512,16128,-596,93,400
pronoun1,We,0,0,0,0,0,-5468,2984,16352,-222,17,690
pronoun1,We,0,0,0,0,0,-5412,2912,16212,-710,-183,204
pronoun1,We,0,0,0,0,0,-5396,3112,15956,6,-65,95
pronoun1,We,0,0,0,0,0,-5524,2972,16092,-141,101,176
pronoun1,We,0,0,0,0,0,-5544,3052,16236,-347,-15,186
pronoun1,We,0,0,0,0,0,-5412,3232,16280,-80,-144,109
pronoun1,We,0,0,0,0,0,-5404,3144,16112,-188,-189,186
pronoun1,We,0,0,0,0,0,-5448,3160,16256,-229,-97,311
pronoun1,We,0,0,0,0,0,-5404,3020,16120,-100,-60,153
pronoun1,We,0,0,0,0,0,-5840,3016,17004,206,-926,-158
pronoun1,We,0,0,0,0,0,-5976,2652,18032,1287,-4648,-514
pronoun1,We,0,0,0,0,0,-4000,5540,17692,5451,-8726,2118
pronoun1,We,0,0,0,0,0,-516,5372,15904,3400,-8204,4664
pronoun1,We,0,0,0,0,0,980,5060,15148,6026,-3279,5053
pronoun1,We,0,0,0,0,0,568,6912,14844,8308,215,3635
pronoun1,We,38,0,0,0,0,868,9256,15848,4210,1996,-347
pronoun1,We,31,0,0,0,0,-1024,11608,13924,762,925,1395
pronoun1,We,0,0,0,0,0,312,9760,10776,12845,3134,5846
pronoun1,We,0,0,0,0,0,1908,14552,10500,9913,5893,5307
pronoun1,We,0,0,0,52,0,2380,12564,9224,82,4768,5858
pronoun1,We,0,0,0,0,0,736,13488,12872,2019,7468,3290
pronoun1,We,0,0,0,21,0,-416,11872,13864,-1343,844,2578
pronoun1,We,0,128,0,0,0,600,9800,11200,-135,-2436,-457
pronoun1,We,0,192,0,57,0,912,11276,9996,5640,-4582,-3549
pronoun1,We,291,454,0,0,0,800,15640,8320,4857,-3712,-5699
pronoun1,We,353,581,0,0,0,348,16032,6860,3034,-1560,-4626
pronoun1,We,398,585,0,0,0,308,18216,6044,707,2954,205
pronoun1,We,449,699,0,0,0,-128,15192,7336,-2493,5326,2726
pronoun1,We,378,716,0,0,0,-848,14040,8584,-979,5685,3227
pronoun1,We,368,778,0,0,0,-1404,14116,8992,-458,4284,2591
